index,State,Commute Mode Share - Auto: Raw Value,Commute Mode Share - Auto: Score,Commute Mode Share - Transit: Raw Value,Commute Mode Share - Transit: Score,Commute Mode Share - Bicycle: Raw Value,Commute Mode Share - Bicycle: Score,Commute Mode Share - Walk: Raw Value,Commute Mode Share - Walk: Score,Complete Streets Policies: Raw Value,Complete Streets Policies: Score,"DUI/DWI Fatalities per 10,000 Residents: Raw Value","DUI/DWI Fatalities per 10,000 Residents: Score",Person Miles of Travel by Private Vehicle: Raw Value,Person Miles of Travel by Private Vehicle: Score,Person Miles of Travel by Walking: Raw Value,Person Miles of Travel by Walking: Score,Physical Activity from Transportation: Raw Value,Physical Activity from Transportation: Score,Proximity to Major Roadways: Raw Value,Proximity to Major Roadways: Score,"Road Traffic Fatalities per 100,000 Residents - Auto: Raw Value","Road Traffic Fatalities per 100,000 Residents - Auto: Score","Road Traffic Fatalities per 100,000 Residents - Bicycle: Raw Value","Road Traffic Fatalities per 100,000 Residents - Bicycle: Score","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Raw Value","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Score",Road Traffic Fatalities Exposure Rate - Auto: Raw Value,Road Traffic Fatalities Exposure Rate - Auto: Score,Road Traffic Fatalities Exposure Rate - Bicycle: Raw Value,Road Traffic Fatalities Exposure Rate - Bicycle: Score,Road Traffic Fatalities Exposure Rate - Pedestrian: Raw Value,Road Traffic Fatalities Exposure Rate - Pedestrian: Score,Seat Belt Use: Raw Value,Seat Belt Use: Score,Transit Trips per Capita: Raw Value,Transit Trips per Capita: Score,Use of Federal Funds for Bicycle and Pedestrian Efforts: Raw Value,Use of Federal Funds for Bicycle and Pedestrian Efforts: Score,Vehicle Miles Traveled per Capita: Raw Value,Vehicle Miles Traveled per Capita: Score,Unnamed: 41,Unnamed: 42,Unnamed: 43
0,Alabama,0.950,5.347205,4.1079305995163438E-3,16.561468,1.1228817214340007E-3,6.742892,1.1963536027099353E-2,4.490895,No policy,0,5.334686,15.824364,33882.288229,21.236827,118.261826,8.480592,5.8225966303270565E-2,13.614504,1.1408673493957903E-3,81.133072,17.0,11.31537,0.1,71.512067,1.5,30.493818,17.9,12.904864,97.9,9.293812,122.4,5.616317,0.895,70.772032,1.6,6.400341,0.013,21.862884,13519.190859,4.35553,,,
1,Alaska,0.802,93.085707,1.6114783476878117E-2,39.003323,1.1061034812531727E-2,88.115874,7.3865500733382508E-2,99.816916,No policy,0,2.053931,88.335608,22752.10084,93.454468,302.521008,85.120871,0.104,70.329635,0.000,100.003383,7.6,75.157974,0.2,53.122516,1.0,69.571798,9.4,70.473913,17.1,82.361915,13.1,96.014444,0.881,63.118014,6.8,37.468257,0.018,45.790031,6349.527419,99.348298,,,
2,Arizona,0.884,50.019094,2.0065434759046877E-2,45.363365,9.0447664133411956E-3,78.928663,2.0164634000723786E-2,21.691704,No policy,0,3.465041,49.601512,32444.151275,29.226422,210.202287,54.200059,0.102,67.158002,1.1629029747300824E-2,29.4976,10.5,46.82478,0.3,6.079212,2.0,6.565017,11.9,47.172309,35.4,49.532373,96.3,10.959429,0.822,32.285355,15.1,62.913024,0.018,45.790031,9209.513486,66.25161,,,
3,Arkansas,0.937,10.598539,4.6612334265904391E-3,17.729898,7.8173782589303811E-4,4.437632,1.6259984592304263E-2,11.724438,No policy,0,4.84774,21.718995,29175.942549,52.741262,97.845601,3.139059,4.4585987261146494E-2,4.553796,0.000,100.003383,18.1,8.723581,0.2,54.999913,1.4,33.897177,19.3,9.07764,152.6,2.901037,78.1,18.015568,0.719,5.110117,2.1,10.445575,0.012,17.732354,11214.184867,25.030552,,,
4,California,0.849,75.04669,5.1794088225195677E-2,80.024932,1.1205026083292489E-2,88.615969,2.6866868406834856E-2,43.38127,Policy in place,100,2.110533,87.064671,27970.436068,62.301135,361.254825,93.291556,0.142,94.982083,3.4658200842118667E-2,13.502265,6.0,89.238823,0.3,10.700906,1.6,20.691907,7.0,89.857811,28.2,61.193102,58.9,31.15422,0.955,95.105325,37.3,85.614854,0.024,72.159886,8515.931455,80.340069,,,
5,Colorado,0.844,77.558991,3.229093510183776E-2,62.026134,1.5095362244972316E-2,96.741187,3.375422887962902E-2,65.258016,Policy in place,100,2.562888,75.274205,28517.386723,57.970016,261.854584,74.871018,0.112,77.845819,4.08064269910268E-3,58.441681,8.2,69.139631,0.2,38.65506,1.0,70.020964,9.6,67.893901,15.4,85.599664,32.0,66.262938,0.807,25.98654,20.8,72.21947,0.021,59.990437,9105.631395,68.519984,,,
6,Connecticut,0.870,60.566686,4.7723663084200021E-2,77.03101,3.3309707375638264E-3,27.667244,2.9783171567847481E-2,53.092872,Policy in place,100,2.366525,80.684921,30618.332081,41.644918,307.287754,86.033612,0.114,79.544477,1.1002153064022841E-2,30.97401,6.1,88.276959,0.1,63.324766,1.0,67.18858,7.0,90.168973,53.1,29.628298,34.4,62.209328,0.868,55.875958,19.1,69.889699,0.017,40.835645,8692.588151,77.031821,,,
7,Delaware,0.897,38.876543,2.542174015070529E-2,53.220616,3.2307535501549006E-3,26.585697,2.2636607779882099E-2,29.278898,Policy in place,100,3.707528,43.429664,37404.255319,8.51012,167.173252,31.438733,6.5116279069767441E-2,20.502864,0.000,100.003383,9.5,56.449471,0.4,0.66741,2.3,2.959336,10.5,59.123596,137.0,3.947836,101.6,9.532463,0.879,62.00591,40.1,86.897266,0.037,96.741555,9943.085611,49.762586,,,
8,Florida,0.895,40.42017,2.1705208463393084E-2,47.862294,6.9704470346866982E-3,64.417027,1.5663901139436755E-2,10.474843,Policy in place,100,3.607521,45.914014,25743.091965,78.654284,193.283265,45.608933,8.9101753117657695E-2,51.536458,6.0367937133286101E-3,48.045438,10.3,48.28042,0.6,0.003376,2.6,1.2178,11.5,50.438175,93.1,10.407208,163.2,2.176918,0.874,59.218704,14.4,61.41789,0.035,95.22082,10053.456436,47.320764,,,
9,Georgia,0.904,32.934726,1.969415598101933E-2,44.786074,1.9643362366393805E-3,13.736207,1.6887215389610761E-2,13.122452,Policy in place,100,3.035607,61.565998,33477.233429,23.315196,176.945245,36.79159,7.0637119113573413E-2,26.965371,1.1085826349589328E-2,30.769907,11.5,38.515197,0.2,45.86092,1.6,23.54063,12.7,40.011629,84.1,12.978075,101.2,9.630902,0.92,83.122989,16.1,64.90456,0.029,86.49074,11055.198954,27.615782,,,
10,Hawaii,0.814,89.876316,6.7392650162973355E-2,88.580024,1.178032535000112E-2,90.437253,4.7443518732611822E-2,91.296499,Policy in place,100,3.668827,44.380502,18643.020595,99.615392,441.647597,97.802193,0.131,90.731716,3.9302253019588659E-2,13.197752,6.3,86.625458,0.2,49.853371,1.6,20.467589,7.7,84.994693,18.5,79.531253,34.7,61.802036,0.934,88.799174,51.8,90.835302,0.012,17.732354,7310.916731,95.547863,,,
11,Idaho,0.883,50.056808,8.4913975335535602E-3,25.364192,1.0288564201414517E-2,85.101535,2.8819158312612413E-2,49.927996,No policy,0,3.384328,51.761922,29116.607774,53.210789,250.883392,71.239069,0.104,69.3972,0.000,100.003383,12.1,33.866527,0.2,43.251439,0.7,90.57935,13.7,32.576516,15.9,84.721493,21.8,83.953032,0.79,19.881265,1.4,5.248349,0.0089999999999999,7.878864,10061.429053,47.145696,,,
12,Illinois,0.828,85.306211,8.5422541721747944E-2,94.262478,6.9333241559321442E-3,64.106543,3.1478992186387618E-2,58.485582,Policy in place,100,2.494523,77.194959,24771.716324,84.55363,270.667226,77.503992,0.124,86.936168,3.7592632205052609E-3,60.42971,6.2,87.567579,0.2,41.037893,1.0,69.225592,7.5,86.675731,33.2,52.841392,31.6,66.994039,0.936,89.518778,49.6,90.244889,0.014,26.31711,8030.044943,88.096752,,,
13,Indiana,0.921,20.471388,1.1275791625835039E-2,30.559271,5.4231172176609273E-3,50.069093,2.1776755506134476E-2,26.555215,No policy,0,3.487421,49.011313,26200.322451,75.566204,131.801693,13.681729,7.0844179992562289E-2,27.221164,3.9108110365258442E-5,97.267104,10.6,46.125645,0.2,40.693911,0.9,77.55398,11.4,50.789939,42.3,40.478162,40.5,52.670379,0.936,89.518778,11.7,54.834659,0.031,90.258529,11737.455902,17.706656,,,
14,Iowa,0.893,42.33618,1.0867228347063855E-2,29.812922,5.0990368485952656E-3,46.744201,3.639639309960406E-2,72.302239,No policy,0,2.991832,62.834946,24760.493827,84.616003,144.855967,19.713634,8.3889816360600999E-2,44.480195,0.000,100.003383,11.6,37.447304,0.2,60.993714,0.7,91.201048,13.0,37.772422,30.6,56.97078,18.0,90.019097,0.924,84.853239,7.7,41.238338,0.025,75.631743,10206.561714,43.995588,,,
15,Kansas,0.922,19.535542,5.6776568647149183E-3,19.824371,2.7646530572857141E-3,21.64377,2.2313825209689466E-2,28.247408,No policy,0,3.396412,51.435397,33623.762376,22.547688,171.017102,33.541853,8.4446564885496178E-2,45.238843,1.1169274394728216E-3,81.379837,13.1,27.260286,0.1,62.551612,0.7,90.704608,14.3,28.861954,41.2,41.776148,27.3,74.458014,0.795,21.561718,4.9,27.704091,0.011,13.992532,10462.012494,38.657507,,,
16,Kentucky,0.927,16.429318,1.0117253512160156E-2,28.428914,2.3081186719757008E-3,17.01747,2.3006958490165302E-2,30.474442,No policy,0,3.835853,40.375205,32208.778173,30.693049,142.941874,18.778253,5.5511914113642313E-2,11.316264,4.0328714555463449E-3,58.73155,16.3,13.178344,0.1,73.75446,1.2,48.328557,17.6,13.783005,53.9,29.024052,56.6,33.208405,0.837,39.376473,5.8,32.647149,0.032,91.789429,11005.897929,28.451126,,,
17,Louisiana,0.927,16.130249,1.2471962757079069E-2,32.714071,4.3272358954035963E-3,38.524836,1.8536502976818817E-2,17.185176,Policy in place,100,5.236701,16.875505,38292.923077,6.581799,219.076923,58.387026,5.4207537429013943E-2,10.299681,3.2543661701289E-3,63.743795,14.5,20.261267,0.3,4.462138,2.2,3.852761,15.6,21.887203,83.0,13.342281,113.7,6.98631,0.793,20.878062,8.2,43.506098,0.015,31.018463,10166.275079,44.862564,,,
18,Maine,0.884,49.719038,5.6930230791388771E-3,19.855587,4.3904492692608404E-3,39.20976,4.3464498137145355E-2,86.298089,No policy,0,3.688368,43.898733,29622.920518,49.227029,157.116451,26.011725,8.3689154568744664E-2,44.206686,0.000,100.003383,10.7,44.588968,9.0309626554642586E-2,83.723015,0.8,82.712679,12.1,45.051083,17.8,80.966416,20.1,86.870003,0.844,42.921963,3.6,19.987486,0.027,81.653768,10730.348624,33.403771,,,
19,Maryland,0.835,82.212657,8.8762297262280423E-2,94.971868,3.7298172997813589E-3,32.007802,2.4733709671543758E-2,36.180779,Policy in place,100,2.718838,70.794333,34758.241758,17.20215,217.391304,57.6107,9.4688221709006926E-2,58.841644,1.1303911710509049E-2,30.24826,7.1,79.880251,0.1,74.609267,1.8,11.964246,8.5,78.747994,39.8,43.565921,77.6,18.252566,0.911,78.950484,48.7,89.992712,0.01,10.696388,9626.401808,56.893522,,,
20,Massachusetts,0.800,93.438674,9.4433804055973528E-2,95.993505,8.0456610124966018E-3,72.63222,4.928933405423238E-2,93.039871,Policy in place,100,1.850931,92.379984,30867.288961,39.822885,472.402597,98.565085,0.131,90.84211,6.1305905088150292E-3,47.611275,4.2,97.984283,0.1,69.334445,1.0,67.522553,5.3,97.872963,18.2,80.131042,21.3,84.860331,0.727,6.068673,62.5,93.09474,0.025,75.631743,8293.876586,84.145289,,,
21,Michigan,0.917,22.974253,1.3098147461474844E-2,33.824277,5.0798182155709828E-3,46.544263,2.1841619624242824E-2,26.757889,Policy in place,100,2.620789,73.624088,30672.526896,41.245345,240.094463,67.269216,9.9161022945517027E-2,64.358382,7.5455329658359431E-3,41.663006,7.8,73.288443,0.2,26.364671,1.3,45.23863,8.5,78.72373,51.5,31.086626,57.1,32.757543,0.936,89.518778,9.9,49.55553,0.019,50.67546,9595.768464,57.587463,,,
22,Minnesota,0.872,58.941724,3.2734790080016833E-2,62.547304,8.1364815972973133E-3,73.257064,2.8074934683118145E-2,47.448716,Policy in place,100,2.119099,86.867402,27208.233605,68.209823,287.697463,81.923316,0.121,85.091051,9.9297624973836499E-3,33.795924,6.8,82.256135,0.2,54.538501,0.7,90.688266,7.8,84.034358,21.8,73.064185,23.6,80.916784,0.936,89.518778,19.0,69.660558,0.035,95.22082,10601.004876,35.886486,,,
23,Mississippi,0.945,7.310007,4.4686688271738514E-3,17.325788,1.2890064467294114E-3,7.985814,1.7038815302093384E-2,13.472879,Policy in place,100,5.993738,10.214629,40335.466179,3.522916,186.471664,41.974634,6.4754098360655737E-2,20.105792,7.4935123641782037E-6,98.849429,20.6,4.840702,0.2,41.520462,1.7,16.900897,21.8,5.041498,162.7,2.391854,100.9,9.694858,0.832,36.931432,1.1,3.358458,0.014,26.31711,13046.410037,6.51011,,,
24,Missouri,0.913,26.077252,1.2889705680664892E-2,33.456067,2.6197072350074516E-3,20.147142,1.9304203125142864E-2,19.253519,No policy,0,4.647672,24.671759,43024.892704,1.45118,148.06867,21.316425,6.1950215234886766E-2,17.15834,3.8904578653708964E-3,59.607274,13.0,27.751616,6.3511899154870557E-2,90.437972,1.2,54.98278,14.3,29.092414,27.6,62.201058,58.4,31.599226,0.794,21.217973,9.2,46.932922,0.027,81.653768,11445.665907,21.566801,,,
25,Montana,0.853,72.394433,9.5098033027631035E-3,27.294395,1.5859490552262892E-2,97.496293,4.8279083271793123E-2,92.12628,No policy,0,8.851371,1.517812,38656.914894,5.90817,162.234043,28.754636,7.2664359861591699E-2,29.504957,0.000,100.003383,20.0,5.566048,0.1,73.258159,1.2,55.215242,23.3,3.429194,8.7,96.350186,23.7,80.706898,0.763,12.404287,2.4,12.356526,0.014,26.31711,11687.648428,18.326179,,,
26,Nebraska,0.905,32.724433,6.4879093763071946E-3,21.454453,6.5491758601603067E-3,60.791014,2.8074838066345264E-2,47.448393,No policy,0,3.988466,36.944881,31049.715909,38.510639,163.352273,29.35977,7.5078864353312305E-2,32.620583,2.0074962675505977E-3,73.139965,10.5,46.393919,7.6619981746931201E-2,87.441957,0.5,97.136602,11.6,49.183862,15.3,85.830412,16.2,92.517261,0.786,18.605405,3.4,18.852637,0.016,35.885392,10366.949336,40.609423,,,
27,Nevada,0.894,41.378886,3.6212587711545653E-2,66.437172,4.0884781866986752E-3,35.926709,2.2940859706744386E-2,30.260176,No policy,0,2.977105,63.262967,22882.47639,93.021503,186.778594,42.139986,5.9487624837168913E-2,14.765573,1.1497883823212263E-2,29.796577,7.9,72.572892,0.2,42.803533,1.7,18.035626,8.8,76.216407,41.7,41.262126,80.7,16.74659,0.905,75.981682,26.7,78.571349,0.016,35.885392,8899.835137,72.878595,,,
28,New Hampshire,0.894,41.740795,6.6771800505587451E-3,21.830821,2.7317078933068728E-3,21.301604,3.101891227821485E-2,57.048043,No policy,0,2.421276,79.211369,32184.675835,30.84566,245.579568,69.337544,9.5272727272727273E-2,59.581833,0.000,100.003383,8.0,71.168308,0.1,78.649212,0.6,95.067787,8.9,74.61828,42.1,40.754307,18.3,89.622877,0.686,2.393286,8.6,44.974401,0.012,17.732354,9650.080428,56.357171,,,
29,New Jersey,0.806,92.182903,0.106,97.496705,3.9332411258389223E-3,34.2313,3.0431633166500969E-2,55.184406,Policy in place,100,1.849398,92.407232,34318.325935,19.150505,219.720989,58.681241,9.9704777241009124E-2,65.00411,1.4489304331911052E-2,24.107531,4.8,95.887938,0.2,50.346196,1.7,18.97036,6.0,95.430394,51.9,30.687384,52.4,37.563521,0.883,64.227231,170.2,98.921345,0.012,17.732354,8271.671062,84.502429,,,
30,New Mexico,0.905,31.984724,1.1368336888225411E-2,30.727591,5.2179499326380687E-3,47.974658,2.266388129510534E-2,29.366516,No policy,0,4.655538,24.54928,31204.851752,37.410872,195.41779,46.730327,6.8108108108108106E-2,23.914791,2.2742892865027786E-3,70.958984,15.0,17.680949,0.3,12.990503,2.1,6.243467,16.7,16.957441,40.1,43.222273,87.3,13.981781,0.914,80.381483,8.1,42.889797,0.026,78.795617,12287.591932,11.884476,,,
31,New York,0.612,99.998925,0.273,99.99931,5.9573830491092975E-3,55.331357,6.3762694304120932E-2,99.064203,Policy in place,100,1.757243,93.948722,19144.598571,99.398693,556.116015,99.543437,0.197,99.876608,2.4759129383368689E-2,15.507671,4.3,97.708702,0.2,33.331793,1.5,25.585659,7.0,90.036938,42.9,39.743408,24.0,80.187569,0.904,75.474277,146.0,98.510789,0.03,88.499105,6549.118013,98.958608,,,
32,North Carolina,0.914,25.469771,1.1467230971537954E-2,30.907159,2.8499803817594689E-3,22.535013,1.9291308943548954E-2,19.217918,Policy in place,100,4.123769,34.090824,30393.880389,43.316176,136.300417,15.662385,6.1457953024218082E-2,16.664943,6.6298841528691335E-4,86.479653,11.8,36.422192,0.3,19.057543,1.7,15.163984,12.8,39.426305,104.1,8.032888,97.8,10.541924,0.875,59.776513,7.2,39.162543,0.022,64.32089,10752.072661,32.996346,,,
33,North Dakota,0.893,41.843379,3.8007048579918458E-3,15.902261,3.5668153282692708E-3,30.228838,3.8201070576165591E-2,76.551478,No policy,0,10.265989,0.610251,23956.363636,88.714958,101.818182,3.933923,5.2410901467505239E-2,8.993748,0.000,100.003383,18.5,7.927451,0.1,74.347382,1.0,70.355898,20.8,6.351769,20.6,75.50825,25.1,78.324854,0.809,26.777703,3.3,17.879121,0.007,3.712853,13332.005006,5.118511,,,
34,Ohio,0.916,23.494205,1.5611196397285617E-2,38.158183,3.0508162616822068E-3,24.65829,2.3844522392813865E-2,33.219023,No policy,0,3.332459,53.175245,32113.550676,31.298607,208.250166,53.24716,9.5797852647167711E-2,60.242202,4.117419541244202E-3,58.219834,8.4,67.265637,0.1,64.76428,0.9,79.429481,9.1,72.573058,47.4,34.87467,37.6,57.035112,0.82,31.397691,9.7,48.657163,0.015,31.018463,9696.290823,55.310961,,,
35,Oklahoma,0.930,14.792063,4.3381678522621423E-3,17.050422,2.2760817629914692E-3,16.703441,2.0499596677598278E-2,22.672468,No policy,0,5.372427,15.436163,35959.517045,12.648032,135.653409,15.370645,7.2961373390557943E-2,29.88326,5.2388020273705512E-4,88.267003,17.4,10.156122,0.2,57.013767,1.3,39.033247,18.8,10.442306,66.6,20.417853,70.5,22.313379,0.838,39.87454,2.0,9.660181,0.0089999999999999,7.878864,12538.145853,9.804089,,,
36,Oregon,0.820,88.192899,4.1398170965831885E-2,71.623822,2.4672498455028846E-2,99.912884,4.5705862187984919E-2,89.337606,Policy in place,100,2.205241,84.815879,23997.286296,88.524324,424.694708,97.218124,0.178,99.493674,8.139238155998223E-3,39.472732,7.7,74.509096,0.3,18.255185,1.3,45.266933,9.3,71.153928,11.3,92.892037,31.2,67.71341,0.968,97.606051,27.8,79.516518,0.031,90.258529,8628.216447,78.264043,,,
37,Pennsylvania,0.857,69.546589,5.4153964870592257E-2,81.601341,4.8381839652595193E-3,44.006942,3.8400697452940682E-2,76.99265,No policy,0,3.196371,56.96567,26958.409786,70.092125,205.09684,51.685111,9.1221735018485087E-2,54.352016,3.1033756499973574E-3,64.783853,9.2,59.252429,0.1,76.698624,1.1,55.843944,10.7,57.803108,25.0,66.900592,29.3,70.969006,0.835,38.38925,29.8,81.052887,0.033,93.112857,7786.026615,91.166539,,,
38,Rhode Island,0.879,53.825079,3.0570398659753705E-2,59.951889,4.3311869278347239E-3,38.567689,3.6402216805481669E-2,72.316702,Policy in place,100,2.285053,82.814489,23218.045113,91.818901,142.857143,18.737206,6.2140391254315308E-2,17.350929,1.5231633508012907E-2,23.011333,5.4,93.320019,9.5021410224151726E-2,82.304497,1.1,62.769993,6.0,95.273293,22.8,71.183787,30.0,69.780699,0.775,15.404175,16.3,65.25286,0.028,84.214473,7522.662341,93.84671,,,
39,South Carolina,0.926,17.163843,5.1787612779078526E-3,18.803928,3.7355491257214809E-3,32.070428,2.1517163022964376E-2,25.749047,Policy in place,100,7.579259,3.523955,31584.705882,34.784812,150.588235,22.59941,5.8097312999273787E-2,13.500044,4.8188353897189251E-4,88.837857,16.1,13.841633,0.3,11.528345,2.2,3.598035,17.4,14.32165,95.6,9.812264,109.7,7.717653,0.905,75.981682,2.6,13.404928,0.0089999999999999,7.878864,10426.893255,39.373483,,,
40,South Dakota,0.882,50.973963,4.8287721665106953E-3,18.079447,8.2086751635322003E-3,73.746142,3.9456745317302346E-2,79.2307,No policy,0,5.395379,15.20449,29193.75,52.600457,190.625,44.200023,8.964451313755796E-2,52.261447,0.000,100.003383,14.7,19.015364,7.3525429137294276E-2,88.198849,0.8,84.570748,16.7,16.915092,12.2,91.417116,18.3,89.496157,0.665,1.41738,1.9,8.792742,0.015,31.018463,10927.839343,29.805794,,,
41,Tennessee,0.932,13.115712,7.5053273891706844E-3,23.459724,1.4926410205545956E-3,9.608177,1.3026947102688735E-2,5.898642,Policy in place,100,4.570162,25.907375,31480.082136,35.498336,95.277207,2.685707,4.4987146529562982E-2,4.734088,1.5371208818583783E-3,77.277085,14.5,20.087385,0.1,79.447362,1.1,55.342776,15.5,22.313511,73.7,16.943073,85.8,14.539886,0.837,39.376473,4.4,25.061593,0.02,55.427215,11057.691785,27.573965,,,
42,Texas,0.914,25.556803,1.6306425197585701E-2,39.322901,2.7503443530027265E-3,21.495023,1.6153858015691074E-2,11.496272,Policy in place,100,4.972987,20.03581,31302.540964,36.726277,181.785799,39.435645,7.3334595003785016E-2,30.360714,9.3116678208907989E-3,35.609398,10.9,43.272182,0.2,42.30478,1.6,21.200812,12.0,46.357602,74.8,16.457874,95.9,11.071372,0.94,90.884772,10.9,52.440252,0.016,35.885392,9260.197877,65.131893,,,
43,Utah,0.884,50.000148,2.5041584314173061E-2,52.691915,9.8506820444445135E-3,83.1251,2.5670072326246199E-2,39.333531,No policy,0,1.190947,99.274737,29367.681499,51.228237,266.978923,76.432031,0.126,88.027389,6.3329910878635208E-3,46.692251,7.7,74.215136,0.2,51.042324,1.0,69.091031,8.7,76.857181,21.2,74.172789,35.7,60.167009,0.819,30.959248,15.9,64.353973,0.026,78.795617,9315.679761,63.898064,,,
44,Vermont,0.839,80.353222,1.1859021607193826E-2,31.615522,9.7889464258270106E-3,82.829823,6.0941758748419998E-2,98.570374,Policy in place,100,3.674397,44.242823,28584,57.440492,268,76.733067,0.107,73.400589,0.000,100.003383,10.4,47.712077,3.1979185387814781E-2,95.529545,0.7,87.488716,12.3,43.367913,4.2,99.684326,12.5,96.621625,0.842,41.89529,4.4,24.851925,0.022,64.32089,11401.582386,22.198893,,,
45,Virginia,0.875,56.974713,4.3992117338527946E-2,73.957979,3.848569818218849E-3,33.305744,2.216633040833961E-2,27.779573,Policy in place,100,2.577374,74.863183,29073.286052,53.553928,230.665316,63.470525,9.0780342727658975E-2,53.769573,9.4180952524042863E-3,35.286741,8.5,66.04642,0.1,68.866306,1.0,69.923417,9.7,67.220256,36.4,48.087094,42.7,49.604737,0.784,17.990084,33.9,83.769417,0.014,26.31711,9989.574451,48.730149,,,
46,Washington,0.834,82.687677,5.8275124956775955E-2,84.095245,9.3341925748954765E-3,80.522513,3.5773160227594226E-2,70.726794,Policy in place,100,2.102876,87.239938,23841.44427,89.239858,260.204082,74.350142,0.117,81.916948,1.1409257934151838E-2,30.001535,5.9,89.796153,0.1,65.867414,0.9,72.700708,7.0,89.850103,15.4,85.571606,27.3,74.539703,0.969,97.755796,36.0,84.939519,0.032,91.789429,8349.297292,83.234918,,,
47,West Virginia,0.924,18.281053,7.300115716920158E-3,23.058704,8.8866233148467946E-4,5.122905,3.1799663889369716E-2,59.475031,No policy,0,5.11666,18.252084,28526.034713,57.901281,133.511348,14.421047,8.6051353226925739E-2,47.42169,0.000,100.003383,17.5,9.917705,6.483616172083817E-2,90.160084,1.1,63.226704,19.0,9.959099,52.1,30.487745,36.7,58.537179,0.84,40.879329,4.4,24.8113,0.007,3.712853,10221.695547,43.671505,,,
48,Wisconsin,0.896,39.413729,1.799467131438531E-2,42.08949,8.7344728815617473E-3,77.10733,3.2733558576255206E-2,62.293634,Policy in place,100,3.493722,48.845872,28852.888889,55.302923,200.444444,49.33194,8.8744148178302465E-2,51.057407,4.3310670665347882E-3,56.953141,9.3,58.50637,0.2,53.126352,0.9,79.287076,10.3,61.1556,22.5,71.753344,26.1,76.679,0.799,22.975124,12.4,56.735762,0.013,21.862884,9529.510903,59.087644,,,
49,Wyoming,0.875,56.644595,1.5314401622718053E-2,37.656447,1.1799678254179198E-2,90.493836,3.2454361054766734E-2,61.46118,No policy,0,6.936905,5.421547,33870.813397,21.29384,186.602871,42.045335,7.9646017699115043E-2,38.708563,0.000,100.003383,24.1,2.095577,0.1,64.760038,0.9,79.926657,27.4,1.265418,15.9,84.638333,23.5,81.172291,0.77,14.093703,0.8,2.14177,0.012,17.732354,16295.492634,0.300435,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Metropolitan Statistical Area,Commute Mode Share - Auto: Raw Value,Commute Mode Share - Auto: Score,Commute Mode Share - Transit: Raw Value,Commute Mode Share - Transit: Score,Commute Mode Share - Bicycle: Raw Value,Commute Mode Share - Bicycle: Score,Commute Mode Share - Walk: Raw Value,Commute Mode Share - Walk: Score,Complete Streets Policies: Raw Value,Complete Streets Policies: Score,"DUI/DWI Fatalities per 10,000 Residents: Raw Value","DUI/DWI Fatalities per 10,000 Residents: Score",Housing and Transportation Affordability: Raw Value,Housing and Transportation Affordability: Score,Land Use Mix: Raw Value,Land Use Mix: Score,Proximity to Major Roadways: Raw Value,Proximity to Major Roadways: Score,"Road Traffic Fatalities per 100,000 Residents - Auto: Raw Value","Road Traffic Fatalities per 100,000 Residents - Auto: Score","Road Traffic Fatalities per 100,000 Residents - Bicycle: Raw Value","Road Traffic Fatalities per 100,000 Residents - Bicycle: Score","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Raw Value","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Score",Road Traffic Fatalities Exposure Rate - Auto: Raw Value,Road Traffic Fatalities Exposure Rate - Auto: Score,Road Traffic Fatalities Exposure Rate - Bicycle: Raw Value,Road Traffic Fatalities Exposure Rate - Bicycle: Score,Road Traffic Fatalities Exposure Rate - Pedestrian: Raw Value,Road Traffic Fatalities Exposure Rate - Pedestrian: Score,,,,,,,,,,,,,
52,"Abilene, TX",0.919,36.948501,6.2217349595724272E-3,28.893055,3.5905166506783608E-3,40.299746,2.7340002740852406E-2,56.432451,No policy,0,10.2,1.6731,0.517,49.08608,0.49,46.390224,0,99.995998,16.1,9.291452,0.2,43.209401,1.1,57.875947,17.5,8.635991,68.0,31.385456,40.2,58.452092,,,,,,,,,,,,,
53,"Akron, OH",0.930,26.267847,1.3381118700432562E-2,51.042889,1.7448346510786665E-3,22.965425,1.9898410498189811E-2,34.31762,No policy,0,2.4,64.049634,0.497,60.294895,0.48,38.209769,0,99.995998,5.7,89.062778,5.6887076593044358E-2,81.199567,0.8,74.665403,6.1,91.833395,32.6,46.509043,41.5,57.132123,,,,,,,,,,,,,
54,"Albany, GA",0.936,20.620386,9.2607796131489936E-3,38.897856,2.4629733013694132E-3,29.943826,2.3398246363009426E-2,44.955116,No policy,0,2.5,60.999152,0.573,21.453652,0.50,50.648765,0,99.995998,12.2,26.106631,0.4,20.81568,1.9,20.042717,13.1,27.910192,151.8,17.784344,79.9,29.121083,,,,,,,,,,,,,
55,"Albany, OR",[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],No policy,0,[no data],[no data],0.566,24.452969,0.51,58.783681,0,99.995998,[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],,,,,,,,,,,,,
